,stars,ratings,discounts,prices,brand,energy_rating,capacity,max_spin_speed
83,,"5,222 Ratings ",30% off,"₹13,990",LG,5,8 kg,1300 rpm
84,,"1,841 Ratings ",29% off,"₹9,190",Voltas Beko,5,7 kg,1350 RPM
85,,"84,073 Ratings ",19% off,"₹29,990",IFB,5,7 kg,1200 RPM
86,,"84,073 Ratings ",26% off,"₹34,490",IFB,5,8 kg,1200 rpm
87,,"2,428 Ratings ",33% off,"₹8,990",Lloyd,5,6.5 kg,1400 rpm
88,,"73,103 Ratings ",28% off,"₹23,334",SAMSUNG,5,10 kg,700 rpm
89,,"2,428 Ratings ",32% off,"₹11,548",Lloyd,5,7.5 kg,1300 rpm
90,,"1,569 Ratings ",47% off,"₹11,490",MOTOROLA,5,7 kg,700 rpm
91,,"3,085 Ratings ",20% off,"₹13,690",Whirlpool,5,9 kg,1400 rpm
92,,"37,218 Ratings ",13% off,"₹17,990",SAMSUNG,5,9 kg,1300 rpm
93,,526 Ratings ,22% off,"₹21,800",IFB,5,5.5 Kg,Yes
94,,"2,131 Ratings ",33% off,"₹10,290",Haier,5,7 kg,1300 RPM
95,,"4,146 Ratings ",26% off,"₹13,999",Thomson,5,9 kg,900 rpm
